Name,Match,nameStrPercent,matchStrPercent,nameWordPercent,matchWordPercent,Ticker,Exchange
Ricoh,"Ricoh Company, Ltd.",1.0,0.263157894737,1.0,1.0,RICOY,PNK
Organovo,"Organovo Holdings, Inc.",1.0,0.347826086957,1.0,1.0,4OR.F,FRA
DSM,DSM-AGI Corporation,1.0,0.157894736842,1.0,0.5,6507.TWO,TWO
Magna International Inc,Magna International Inc.,1.0,0.958333333333,1.0,1.0,MGA,NYQ
Arconic,Arconic Inc.,1.0,0.583333333333,1.0,1.0,AA-PB,NYQ
Bio-on,Bio-on S.p.A.,1.0,0.461538461538,1.0,0.666666666667,ON.MI,MIL
Nano Dimension,Nano Dimension Ltd.,1.0,0.736842105263,1.0,1.0,NNDM,NCM
Spirit AeroSystems,"Spirit AeroSystems Holdings, Inc.",1.0,0.545454545455,1.0,1.0,S9Q.F,FRA
ALPHAFORM,ALPHAFORM AG O.N.,1.0,0.529411764706,1.0,1.0,ATF.MU,MUN
Covestro,Covestro AG,1.0,0.727272727273,1.0,1.0,CVXTY,PNK
Altech,Altech Chemicals Limited,1.0,0.25,1.0,0.5,ATC.AX,ASX
Kraken,Kraken Sonar Inc.,1.0,0.352941176471,1.0,0.5,KRKNF,PNK
Bespoke,"Bespoke Extracts, Inc.",1.0,0.318181818182,1.0,0.5,DIMI,PNK
Altair,Altair Resources Inc.,1.0,0.285714285714,1.0,0.5,AAEEF,PNK
Endurance,"Endurance International Group Holdings, Inc.",1.0,0.204545454545,1.0,1.0,EIGI,NMS
Draganfly,Draganfly Investments Limited,1.0,0.310344827586,1.0,0.5,DRG.L,LSE
DMG MORI,DMG MORI AG O.N.,1.0,0.5,1.0,1.0,GIL.DU,DUS
Ansys,"Ansys, Inc.",1.0,0.454545454545,1.0,1.0,ANSS,NMS
Duro,Duro Felguera S.A. Acciones Por,1.0,0.129032258065,1.0,0.25,DF5A.SG,STU
Materialise,Materialise NV,1.0,0.785714285714,1.0,0.5,MTLS,NMS
ExOne,The ExOne Company,1.0,0.294117647059,1.0,0.5,XONE,NMS
SLM Solutions,SLM Solutions Group AG,1.0,0.590909090909,1.0,1.0,SLGRF,PNK
Orbital ATK,"Orbital ATK, Inc.",1.0,0.647058823529,1.0,1.0,OA,NYQ
SYP,SYP AGRO FOODS LTD.,1.0,0.157894736842,1.0,0.333333333333,SYPAGFD.BO,BSE
voxeljet,voxeljet AG Namens-Akt.(Spons.A,1.0,0.258064516129,1.0,0.25,VX8A.SG,STU
Thales,Thales SA,1.0,0.666666666667,1.0,1.0,HONV.PA,PAR
Assembly,"Assembly Biosciences, Inc.",1.0,0.307692307692,1.0,0.5,ASMB,NCM
Dolomite,Dolomite Holdings Ltd,1.0,0.380952380952,1.0,1.0,DLMT.TA,TLV
Tesla,"Tesla, Inc.",1.0,0.454545454545,1.0,1.0,TSLA.MX,MEX
ReproCELL,"ReproCELL, Inc.",1.0,0.6,1.0,1.0,6RC.F,FRA
Hexcel,Hexcel Corporation,1.0,0.333333333333,1.0,1.0,HXL.F,FRA
3D Research,CBD MED Research Corp.,0.909090909091,0.454545454545,1.0,0.25,CBM-H.V,VAN
VDM,VDM Group Limited,1.0,0.176470588235,1.0,1.0,VMG.AX,ASX
Lenovo,Lenovo Group Limited,1.0,0.3,1.0,1.0,LHL1.SG,STU
Zenith,China Zenith Chemical Group Limited,1.0,0.171428571429,1.0,0.333333333333,0362.HK,HKG
Imaginarium,"Imaginarium, S.A.",1.0,0.647058823529,1.0,1.0,IMG.MC,MCE
UNITED TECHNOLOGIES,UNITED TECHNOLOGIES CORP. Regis,1.0,0.612903225806,1.0,0.666666666667,UTC1.SG,STU
Zodiac Aerospace,Zodiac Aerospace,1.0,1.0,1.0,1.0,ZDC.F,FRA
MINERVA,J. & B. Ladenis Bros SA MINERVA Knitwear Manufacturing Company,1.0,0.112903225806,1.0,0.166666666667,MIN.AT,ATH
Synergy,"Synergy Pharmaceuticals, Inc. -",1.0,0.225806451613,1.0,0.5,SGYPU,NCM
Victrex,Victrex plc,1.0,0.636363636364,1.0,1.0,VCT.L,LSE
EBERS,EBERS PHARMACEUTICALS LTD.,1.0,0.192307692308,1.0,0.5,EBEPH.BO,BSE
